Currency code,Date,Units per USD
USD,2020-01-09 00:00:00,1.0
JPY,2020-01-09 00:00:00,109.3969
GBP,2020-01-09 00:00:00,0.7676
CHF,2020-01-09 00:00:00,0.9728
AUD,2020-01-09 00:00:00,1.4575
CAD,2020-01-09 00:00:00,1.3056
INR,2020-01-09 00:00:00,71.2529
MYR,2020-01-09 00:00:00,4.0905
SGD,2020-01-09 00:00:00,1.3518
EUR,2020-01-09 00:00:00,0.9001
USD,2020-01-08 00:00:00,1.0
JPY,2020-01-08 00:00:00,108.7359
GBP,2020-01-08 00:00:00,0.7635
CHF,2020-01-08 00:00:00,0.9709
AUD,2020-01-08 00:00:00,1.457
CAD,2020-01-08 00:00:00,1.3018
INR,2020-01-08 00:00:00,71.713
MYR,2020-01-08 00:00:00,4.1015
SGD,2020-01-08 00:00:00,1.3508
EUR,2020-01-08 00:00:00,0.8997
USD,2020-01-07 00:00:00,1.0
JPY,2020-01-07 00:00:00,108.4407
GBP,2020-01-07 00:00:00,0.7625
CHF,2020-01-07 00:00:00,0.9712
AUD,2020-01-07 00:00:00,1.4546
CAD,2020-01-07 00:00:00,1.2997
INR,2020-01-07 00:00:00,71.8448
MYR,2020-01-07 00:00:00,4.093
SGD,2020-01-07 00:00:00,1.3499
EUR,2020-01-07 00:00:00,0.8951
USD,2020-01-06 00:00:00,1.0
JPY,2020-01-06 00:00:00,108.1115
GBP,2020-01-06 00:00:00,0.7613
CHF,2020-01-06 00:00:00,0.9693
AUD,2020-01-06 00:00:00,1.44
CAD,2020-01-06 00:00:00,1.2976
INR,2020-01-06 00:00:00,71.9292
MYR,2020-01-06 00:00:00,4.104
SGD,2020-01-06 00:00:00,1.3498
EUR,2020-01-06 00:00:00,0.8933
USD,2020-01-03 00:00:00,1.0
JPY,2020-01-03 00:00:00,108.1367
GBP,2020-01-03 00:00:00,0.7636
CHF,2020-01-03 00:00:00,0.9725
AUD,2020-01-03 00:00:00,1.4381
CAD,2020-01-03 00:00:00,1.2982
INR,2020-01-03 00:00:00,71.7758
MYR,2020-01-03 00:00:00,4.102
SGD,2020-01-03 00:00:00,1.3499
EUR,2020-01-03 00:00:00,0.8971
USD,2020-01-02 00:00:00,1.0
JPY,2020-01-02 00:00:00,108.7733
GBP,2020-01-02 00:00:00,0.7579
CHF,2020-01-02 00:00:00,0.9707
AUD,2020-01-02 00:00:00,1.43
CAD,2020-01-02 00:00:00,1.2998
INR,2020-01-02 00:00:00,71.3897
MYR,2020-01-02 00:00:00,4.0886
SGD,2020-01-02 00:00:00,1.3476
EUR,2020-01-02 00:00:00,0.8934
USD,2019-12-31 00:00:00,1.0
JPY,2019-12-31 00:00:00,108.5455
GBP,2019-12-31 00:00:00,0.7573
CHF,2019-12-31 00:00:00,0.9662
AUD,2019-12-31 00:00:00,1.4238
CAD,2019-12-31 00:00:00,1.2994
INR,2019-12-31 00:00:00,71.3788
MYR,2019-12-31 00:00:00,4.0905
SGD,2019-12-31 00:00:00,1.3451
EUR,2019-12-31 00:00:00,0.8902
USD,2019-12-30 00:00:00,1.0
JPY,2019-12-30 00:00:00,109.2055
GBP,2019-12-30 00:00:00,0.7615
CHF,2019-12-30 00:00:00,0.9716
AUD,2019-12-30 00:00:00,1.4293
CAD,2019-12-30 00:00:00,1.3067
INR,2019-12-30 00:00:00,71.3308
MYR,2019-12-30 00:00:00,4.1065
SGD,2019-12-30 00:00:00,1.3485
EUR,2019-12-30 00:00:00,0.8937
USD,2019-12-27 00:00:00,1.0
JPY,2019-12-27 00:00:00,109.5938
GBP,2019-12-27 00:00:00,0.7633
CHF,2019-12-27 00:00:00,0.9764
